X,Y,id,Nama,Lat,Long,Jenis_benc,Tinggi,Luas_genan,Tanggal,Keterangan,icon_url
104.016722222222,1.16983333333333,"0",Tanjung Sengkuang,104.01672222200,1.16983333333,Banjir,,,,,./0.png
104.030583333333,1.14908333333333,"0",Bengkong Suadebi,104.03058333300,1.14908333333,Banjir,,,,,./0.png
104.464666666667,0.913722222222222,"0",Jl GototSubroto,104.46466666700,0.91372222222,Banjir,,,,,./0.png
104.025194444444,1.07266666666667,"0",Sp Panbil,104.02519444400,1.07266666667,Banjir,,,,,./0.png
104.009923123279,1.14790385634173,"0",Sp Lubuk Baja,104.00992312300,1.14790385634,Banjir,,,,,./0.png
104.003177057755,1.15236141590613,"0",Jl Raja Ali,104.00317705800,1.15236141591,Banjir,,,,,./0.png
107.564999014989,1.00183244791666,"0","Desa Batu Lepuk, kec Tambelan",107.56499901500,1.00183244792,Banjir,,,,,./0.png
107.563338294503,0.996670208333332,"0","Desa Kampung Hilir, kec Tambelan",107.56333829500,0.99667020833,Banjir,,,,,./0.png
108.115511000868,3.94859799913195,"0","Jln Klarik, Natuna",108.11551100100,3.94859799913,Banjir,,,,,./0.png
103.967935259549,1.10264323933485,"0",Tiban Koperasi,103.96793526000,1.10264323933,Banjir,,,,,./0.png
103.959589351162,1.0347378938265,"0",Sungai Pelunggut Sagulung,103.95958935100,1.03473789383,Banjir,,,,,./0.png
104.03974089463,1.10487197623352,"0",Sukajadi kws kepri mall,104.03974089500,1.10487197623,Banjir,,,,,./0.png
104.618937069237,-0.213669007010553,"0",Titik Banjir Kampung Bugis Lingga,104.61893706900,-0.21366900701,Banjir,,,,,./0.png
104.612603861523,-0.217584340996549,"0",Titik Banjir Kampung Tande Lingga,104.61260386200,-0.21758434100,Banjir,,,,,./0.png
104.547316501878,-0.490745254848624,"0",Titik Banjir Bukit Kapitan,104.54731650200,-0.49074525485,Banjir,,,,,./0.png
104.577399238521,-0.468966905028019,"0",Titik Banjir Desa Berindat,104.57739923900,-0.46896690503,Banjir,,,,,./0.png
104.439784963186,-0.490896743176495,"0",Titik Banjir Desa Hamdan,104.43978496300,-0.49089674318,Banjir,,,,,./0.png
104.027308891547,1.11179518469622,"0",,104.02730889200,1.11179518470,Banjir,,,,,./0.png
