X,Y,Id,lat,long,Nama,Jns_Bencan,Tinggi,Luas_genan,tanggal,Keterangan,icon_url
103.925307594484,1.06421254135108,"0",103.92530759400,1.06421254135,,Banjir,,,,,./0.png
103.941720114,1.04575918000006,"0",103.94172011400,1.04575918000,,Banjir,,,,,./0.png
103.942319152,1.04366774200003,"0",103.94231915200,1.04366774200,,Banjir,,,,,./0.png
103.943248382,1.04238770000006,"0",103.94324838200,1.04238770000,,Banjir,,,,,./0.png
103.946368203846,1.03935074303167,"0",103.94636820400,1.03935074303,,Banjir,,,,,./0.png
103.941799638715,1.03763753110747,"0",103.94179963900,1.03763753111,,Banjir,,,,,./0.png
103.957979973555,1.05305643842525,"0",103.95797997400,1.05305643843,,Banjir,,,,,./0.png
103.957789616674,1.04963001457685,"0",103.95778961700,1.04963001458,,Banjir,,,,,./0.png
103.958827048,1.04619919000004,"0",103.95882704800,1.04619919000,,Banjir,,,,,./0.png
103.958931757957,1.0371616389063,"0",103.95893175800,1.03716163891,,Banjir,,,,,./0.png
103.963500323088,1.05077215585965,"0",103.96350032300,1.05077215586,,Banjir,,,,,./0.png
103.973874773074,1.05200947558268,"0",103.97387477300,1.05200947558,,Banjir,,,,,./0.png
103.973589237753,1.04591805540776,"0",103.97358923800,1.04591805541,,Banjir,,,,,./0.png
103.975778341878,1.04582287696752,"0",103.97577834200,1.04582287697,,Banjir,,,,,./0.png
103.981899567,1.04518277000005,"0",103.98189956700,1.04518277000,,Banjir,,,,,./0.png
103.965594248773,1.03506771322117,"0",103.96559424900,1.03506771322,,Banjir,,,,,./0.png
103.97644459096,1.03164128937278,"0",103.97644459100,1.03164128937,,Banjir,,,,,./0.png
104.053100164,1.04476552600005,"0",104.05310016400,1.04476552600,,Banjir,,,,,./0.png
104.064486578,1.02385126300004,"0",104.06448657800,1.02385126300,,Banjir,,,,,./0.png
104.038005264,1.15821152500007,"0",104.03800526400,1.15821152500,,Banjir,,,,,./0.png
104.040184402654,1.14935917398372,"0",104.04018440300,1.14935917398,,Banjir,,,,,./0.png
104.042389871,1.13547172700004,"0",104.04238987100,1.13547172700,,Banjir,,,,,./0.png
